"Geslacht";"Niveau";"Leerweg";"Studierichting";"Regio";"Perioden";"Gediplomeerden mbo (Aantal)"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer handel";"Noord-Holland (PV)";"2020/'21*";"    2140"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer handel";"Zuid-Holland (PV)";"2020/'21*";"    2770"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer handel";"Zeeland (PV)";"2020/'21*";"     230"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer handel";"Noord-Brabant (PV)";"2020/'21*";"    1920"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer handel";"Limburg (PV)";"2020/'21*";"     720"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer handel";"Niet in te delen (PV)";"2020/'21*";"      50"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer creatieve industrie en ICT";"Nederland";"2020/'21*";"   13100"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer creatieve industrie en ICT";"Groningen (PV)";"2020/'21*";"     450"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer creatieve industrie en ICT";"Fryslân (PV)";"2020/'21*";"     540"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer creatieve industrie en ICT";"Drenthe (PV)";"2020/'21*";"     310"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer creatieve industrie en ICT";"Overijssel (PV)";"2020/'21*";"    1050"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer creatieve industrie en ICT";"Flevoland (PV)";"2020/'21*";"     530"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer creatieve industrie en ICT";"Gelderland (PV)";"2020/'21*";"    1710"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer creatieve industrie en ICT";"Utrecht (PV)";"2020/'21*";"    1160"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer creatieve industrie en ICT";"Noord-Holland (PV)";"2020/'21*";"    2060"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer creatieve industrie en ICT";"Zuid-Holland (PV)";"2020/'21*";"    2570"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer creatieve industrie en ICT";"Zeeland (PV)";"2020/'21*";"     170"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer creatieve industrie en ICT";"Noord-Brabant (PV)";"2020/'21*";"    1890"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer creatieve industrie en ICT";"Limburg (PV)";"2020/'21*";"     620"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer creatieve industrie en ICT";"Niet in te delen (PV)";"2020/'21*";"      50"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer voedsel, groen en gastvrijh";"Nederland";"2020/'21*";"   19520"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer voedsel, groen en gastvrijh";"Groningen (PV)";"2020/'21*";"     610"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer voedsel, groen en gastvrijh";"Fryslân (PV)";"2020/'21*";"     990"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer voedsel, groen en gastvrijh";"Drenthe (PV)";"2020/'21*";"     690"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer voedsel, groen en gastvrijh";"Overijssel (PV)";"2020/'21*";"    1370"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer voedsel, groen en gastvrijh";"Flevoland (PV)";"2020/'21*";"     580"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer voedsel, groen en gastvrijh";"Gelderland (PV)";"2020/'21*";"    2790"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer voedsel, groen en gastvrijh";"Utrecht (PV)";"2020/'21*";"    1330"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer voedsel, groen en gastvrijh";"Noord-Holland (PV)";"2020/'21*";"    2550"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer voedsel, groen en gastvrijh";"Zuid-Holland (PV)";"2020/'21*";"    3870"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer voedsel, groen en gastvrijh";"Zeeland (PV)";"2020/'21*";"     370"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer voedsel, groen en gastvrijh";"Noord-Brabant (PV)";"2020/'21*";"    3100"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer voedsel, groen en gastvrijh";"Limburg (PV)";"2020/'21*";"    1180"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer voedsel, groen en gastvrijh";"Niet in te delen (PV)";"2020/'21*";"     110"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zakelijke dienstverlenin...";"Nederland";"2020/'21*";"   17200"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zakelijke dienstverlenin...";"Groningen (PV)";"2020/'21*";"     500"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zakelijke dienstverlenin...";"Fryslân (PV)";"2020/'21*";"     610"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zakelijke dienstverlenin...";"Drenthe (PV)";"2020/'21*";"     430"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zakelijke dienstverlenin...";"Overijssel (PV)";"2020/'21*";"    1290"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zakelijke dienstverlenin...";"Flevoland (PV)";"2020/'21*";"     590"
